nuts2,country,latitude,longitude,dist_brussels_km,dist_capital_km,post_communist,mediterranean,terrain_ruggedness
AL01,AL,41.3275,19.8187,1589.2,0.0,0,0,7.0
AL02,AL,40.0583,20.1489,1713.2,143.8,0,0,7.0
AL03,AL,40.7409,19.4969,1619.6,70.6,0,0,7.0
AT11,AT,48.2082,16.3738,914.8,0.0,0,0,7.5
AT12,AT,47.0707,15.4395,910.8,144.6,0,0,7.5
AT13,AT,48.2082,16.3738,914.8,0.0,0,0,7.5
AT21,AT,47.8095,13.055,715.0,250.8,0,0,7.5
AT22,AT,46.6241,14.305,867.0,235.1,0,0,7.5
AT31,AT,47.2692,11.4041,649.6,385.9,0,0,7.5
AT32,AT,47.8095,13.055,715.0,250.8,0,0,7.5
AT33,AT,47.2692,11.4041,649.6,385.9,0,0,7.5
AT34,AT,47.25,9.5833,552.6,518.8,0,0,7.5
BE10,BE,50.8503,4.3517,0.0,0.0,0,0,2.0
BE21,BE,50.4669,4.8719,56.2,56.2,0,0,2.0
BE22,BE,50.9304,4.0358,23.9,23.9,0,0,2.0
BE23,BE,51.2194,4.4025,41.2,41.2,0,0,2.0
BE24,BE,50.8798,4.7005,24.7,24.7,0,0,2.0
BE25,BE,51.05,3.7333,48.7,48.7,0,0,2.0
BE31,BE,50.6338,4.6709,32.9,32.9,0,0,2.0
BE32,BE,50.4108,4.4446,49.3,49.3,0,0,2.0
BE33,BE,50.6326,5.5797,89.7,89.7,0,0,2.0
BE34,BE,50.0021,5.2647,114.4,114.4,0,0,2.0
BE35,BE,50.4674,4.872,56.2,56.2,0,0,2.0
BG31,BG,42.6977,23.3219,1698.0,0.0,1,0,5.5
BG32,BG,43.2141,27.9147,1965.9,378.1,1,0,5.5
BG33,BG,42.1354,24.7453,1828.2,132.5,1,0,5.5
BG34,BG,42.5048,27.4626,1980.8,339.6,1,0,5.5
BG41,BG,42.6977,23.3219,1698.0,0.0,1,0,5.5
BG42,BG,42.1438,24.7495,1827.9,132.4,1,0,5.5
CH01,CH,46.8182,8.2275,530.4,61.0,0,0,8.5
CH02,CH,46.948,7.4474,489.3,0.0,0,0,8.5
CH03,CH,47.5596,7.5886,434.9,68.8,0,0,8.5
CH04,CH,47.3769,8.5417,491.9,95.5,0,0,8.5
CH05,CH,47.4245,9.3767,527.7,155.1,0,0,8.5
CH06,CH,47.0502,8.3093,511.8,66.3,0,0,8.5
CH07,CH,46.1951,8.9831,619.6,144.2,0,0,8.5
CY00,CY,35.1264,33.4299,2909.9,0.0,0,1,4.0
CZ01,CZ,50.0755,14.4378,718.5,0.0,1,0,4.5
CZ02,CZ,49.9485,14.973,758.8,40.8,1,0,4.5
CZ03,CZ,49.3933,13.9627,703.5,83.2,1,0,4.5
CZ04,CZ,50.6607,13.9775,677.0,72.8,1,0,4.5
CZ05,CZ,50.2093,15.8329,813.8,100.5,1,0,4.5
CZ06,CZ,49.1952,16.608,893.6,184.4,1,0,4.5
CZ07,CZ,49.5938,17.2509,927.0,208.7,1,0,4.5
CZ08,CZ,49.8209,18.2625,992.4,275.1,1,0,4.5
DE11,DE,48.7758,9.1829,416.3,511.6,0,0,3.5
DE12,DE,49.0069,8.4037,355.1,525.4,0,0,3.5
DE13,DE,47.999,7.8421,405.2,639.2,0,0,3.5
DE14,DE,48.5216,9.0576,426.1,540.3,0,0,3.5
DE21,DE,48.1351,11.582,602.8,504.4,0,0,3.5
DE22,DE,48.88,12.87,648.2,406.5,0,0,3.5
DE23,DE,49.4401,12.096,573.4,354.5,0,0,3.5
DE24,DE,49.9774,10.9496,477.3,330.3,0,0,3.5
DE25,DE,49.4521,10.996,498.1,380.5,0,0,3.5
DE26,DE,49.7913,9.9534,414.6,387.2,0,0,3.5
DE27,DE,48.3705,10.8978,546.1,494.3,0,0,3.5
DE30,DE,52.52,13.405,650.6,0.0,0,0,3.5
DE40,DE,52.272,11.958,548.8,102.0,0,0,3.5
DE41,DE,52.272,11.958,548.8,102.0,0,0,3.5
DE42,DE,52.0406,12.9754,611.7,60.8,0,0,3.5
DE50,DE,53.0793,8.8017,392.8,315.6,0,0,3.5
DE60,DE,53.5511,9.9937,487.6,255.3,0,0,3.5
DE71,DE,49.8728,8.6512,323.7,443.0,0,0,3.5
DE72,DE,50.5558,8.6859,306.9,392.6,0,0,3.5
DE73,DE,51.3127,9.4797,361.8,300.8,0,0,3.5
