nuts2,region_name,unemployment_c1,unemployment_c2
AT11,Burgenland,4.933333333,5.1
AT12,Niederösterreich,4,4.4
AT13,Wien,7.066666667,9.666666667
AT21,Kärnten,4.533333333,4.733333333
AT22,Steiermark,4.866666667,4.3
AT31,Oberösterreich,3.633333333,3.833333333
AT32,Salzburg,2.833333333,3.533333333
AT33,Tirol,2.766666667,3.366666667
AT34,Vorarlberg,2.8,4.866666667
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,14.6,17.03333333
BE21,Prov. Antwerpen,4.466666667,5.633333333
BE22,Prov. Limburg (BE),4.366666667,6.2
BE23,Prov. Oost-Vlaanderen,4.1,4.733333333
BE24,Prov. Vlaams-Brabant,3.566666667,4
BE25,Prov. West-Vlaanderen,3.133333333,3.966666667
BE31,Prov. Brabant wallon,6.866666667,7.866666667
BE32,Prov. Hainaut,11.13333333,13.73333333
BE33,Prov. Liège,8.866666667,11.46666667
BE34,Prov. Luxembourg (BE),5.366666667,7.5
BE35,Prov. Namur,8.966666667,9.833333333
BG31,Severozapaden,,10.86666667
BG32,Severen tsentralen,,12.23333333
BG33,Severoiztochen,,11.3
BG34,Yugoiztochen,,7.633333333
BG41,Yugozapaden,13.4,6.033333333
BG42,Yuzhen tsentralen,,8.266666667
CH01,Région lémanique,3.95,5.5
CH02,Espace Mittelland,2.1,3.966666667
CH03,Nordwestschweiz,2.4,3.766666667
CH04,Zürich,3.3,3.833333333
CH05,Ostschweiz,2.2,3.4
CH06,Zentralschweiz,2,2.766666667
CH07,Ticino,3.05,5.466666667
CY00,Kýpros,4.1,4.6
CZ01,Praha,3.733333333,2.9
CZ02,Střední Čechy,6.333333333,4.4
CZ03,Jihozápad,5.333333333,4.5
CZ04,Severozápad,12.66666667,11.93333333
CZ05,Severovýchod,5.9,5.5
CZ06,Jihovýchod,7.033333333,6.666666667
CZ07,Střední Morava,9.566666667,7.8
CZ08,Moravskoslezsko,13.9,11.46666667
DE11,Stuttgart,3.9,6.3
DE12,Karlsruhe,4.633333333,6.766666667
DE13,Freiburg,4.133333333,5.4
DE14,Tübingen,3.666666667,5.766666667
DE21,Oberbayern,3.066666667,5.2
DE22,Niederbayern,3.833333333,6.033333333
DE23,Oberpfalz,4.8,6.233333333
DE24,Oberfranken,5.766666667,9.2
DE25,Mittelfranken,5.3,7.766666667
DE26,Unterfranken,4.7,6.8
DE27,Schwaben,3.866666667,5.966666667
DE30,Berlin,15.03333333,18.16666667
DE40,Brandenburg,16.76666667,16.2
DE50,Bremen,9.566666667,14.33333333
DE60,Hamburg,7.666666667,9.8
DE71,Darmstadt,5.266666667,7.8
DE72,Gießen,5.766666667,8.266666667
DE73,Kassel,7.1,8.6
DE80,Mecklenburg-Vorpommern,18,19.36666667
DE91,Braunschweig,8.166666667,10.2
DE92,Hannover,7.066666667,9.8
DE93,Lüneburg,6.133333333,8.7
DE94,Weser-Ems,5.8,8.9
DEA1,Düsseldorf,6.7,9.7
DEA2,Köln,6,8.766666667
DEA3,Münster,5.966666667,8.633333333
DEA4,Detmold,6.3,9.433333333
DEA5,Arnsberg,7.566666667,11.03333333
DEB1,Koblenz,5.7,7.6
DEB2,Trier,4.7,6.3
DEB3,Rheinhessen-Pfalz,5.9,7.966666667
Dec-00,Saarland,6.933333333,9.2
DED2,Dresden,16.9,16
DED4,Chemnitz,,16.13333333
DED5,Leipzig,,18.46666667
DEE0,Sachsen-Anhalt,19.76666667,17.96666667
DEF0,Schleswig-Holstein,6.833333333,9.133333333
DEG0,Thüringen,14.16666667,15.56666667
DK01,Hovedstaden,,4.3
DK02,Sjælland,,3.6
DK03,Syddanmark,,3.5
DK04,Midtjylland,,3.3
DK05,Nordjylland,,4.4
EE00,Eesti,12.16666667,6.166666667
EL30,Attiki,10.7,8.466666667
EL41,Voreio Aigaio,7.933333333,9.466666667
EL42,Notio Aigaio,12.13333333,9.3
EL43,Kriti,6.833333333,6.633333333
EL51,"Anatoliki Makedonia, Thraki",9.266666667,10.96666667
EL52,Kentriki Makedonia,10.9,9.933333333
EL53,Dytiki Makedonia,15,14.8
EL54,Ipeiros,11.73333333,10.43333333
EL61,Thessalia,12.03333333,8.5
EL62,Ionia Nisia,6.6,9.633333333
EL63,Dytiki Elláda,10.56666667,10.1
EL64,Sterea Elláda,12.8,9.866666667
EL65,Peloponnisos,8.5,7.866666667
ES11,Galicia,12.73333333,8.633333333
ES12,Principado de Asturias,11.93333333,9.2
ES13,Cantabria,10.36666667,7
ES21,País Vasco,10.23333333,6.933333333
ES22,Comunidad Foral de Navarra,4.633333333,5.266666667
ES23,La Rioja,6.6,6.1
ES24,Aragón,5.966666667,5.566666667
ES30,Comunidad de Madrid,8.7,6.433333333
ES41,Castilla y León,11.36666667,8
ES42,Castilla-La Mancha,10.36666667,8.566666667
ES43,Extremadura,18.83333333,14
ES51,Cataluña,8.9,6.633333333
ES52,Comunitat Valenciana,10.76666667,8.633333333
ES53,Illes Balears,6,6.966666667
ES61,Andalucía,20.3,13.06666667
ES62,Región de Murcia,10.66666667,7.8
ES63,Ciudad de Ceuta,26,20.63333333
ES64,Ciudad de Melilla,21.2,15.36666667
ES70,Canarias,11.86666667,11.26666667
FI19,Länsi-Suomi,11.03333333,7.7
FI1B,Helsinki-Uusimaa,,5.5
FI1C,Etelä-Suomi,,7.5
FI1D,Pohjois- ja Itä-Suomi,,10.7
FI20,Åland,,
FR10,Ile de France,8.1,8.3
FRB0,Centre — Val de Loire,8.033333333,6.533333333
FRC1,Bourgogne,7.766666667,7.433333333
FRC2,Franche-Comté,7.1,7.266666667
FRD1,Basse-Normandie,7.766666667,6.833333333
FRD2,Haute-Normandie,10.03333333,8.366666667
FRE1,Nord-Pas de Calais,14.7,12.03333333
FRE2,Picardie,9.8,10.1
FRF1,Alsace,6.433333333,6.4
FRF2,Champagne-Ardenne,10.23333333,8.166666667
